,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
387,leningradskiy,20,RU,1525180928,75,69.38,178.42,10.18,15.35
388,talaya,64,RU,1525180928,52,55.79,84.89,55.0,14.0
389,salamanca,40,ES,1525179600,46,40.97,-5.66,50.0,4.7
390,jiayuguan,0,CN,1525180929,46,39.77,98.29,49.96,6.62
391,fukue,0,JP,1525177800,64,35.03,136.69,68.0,9.17
392,desdunes,20,HT,1525179600,69,19.3,-72.65,80.6,4.7
393,marawi,36,PH,1525180929,99,8.0,124.29,69.31,2.04
394,bukachacha,12,RU,1525180929,44,52.99,116.91,40.69,2.71
395,viedma,92,AR,1525180930,89,-40.81,-62.99,44.65,8.3
396,puerto madero,75,AR,1525179600,67,-34.61,-58.36,60.8,12.75
397,etah,44,IN,1525180930,25,27.56,78.66,100.09,4.61
398,sangar,56,RU,1525180930,51,63.92,127.47,37.0,5.61
399,lerwick,0,GB,1525179000,22,60.15,-1.15,48.2,16.11
400,huambo,75,AO,1525176000,47,-12.78,15.73,77.0,6.93
401,nampula,75,MZ,1525176000,65,-15.12,39.26,80.6,7.74
402,luanda,40,AO,1525176000,66,-8.83,13.24,89.6,9.17
403,fairbanks,90,US,1525179780,98,64.84,-147.72,33.8,3.6
404,afsin,32,TR,1525180932,90,38.25,36.91,60.13,4.16
405,kuytun,12,RU,1525180932,40,54.34,101.51,59.95,8.08
406,havoysund,0,NO,1525179000,59,71.0,24.66,37.4,4.7
407,fort morgan,1,US,1525179300,93,40.25,-103.8,44.6,3.36
408,veraval,75,FR,1525179600,54,49.65,0.71,53.6,11.41
409,sur,32,OM,1525180933,71,22.57,59.53,89.65,7.52
410,provideniya,0,RU,1525180933,100,64.42,-173.23,25.21,14.67
411,puerto leguizamo,76,CO,1525180933,96,-0.19,-74.78,73.72,2.48
412,sibolga,92,ID,1525180933,100,1.74,98.78,72.01,0.81
413,klyuchi,0,RU,1525180933,49,52.25,79.17,51.76,19.15
414,talnakh,32,RU,1525180934,86,69.49,88.39,8.38,5.5
415,male,0,UA,1525180934,49,50.74,33.7,74.98,18.03
416,puerto carreno,80,CO,1525180934,100,6.19,-67.49,68.41,2.71
417,naze,75,NG,1525179600,59,5.43,7.07,91.4,5.82
418,kattivakkam,20,IN,1525177800,70,13.22,80.32,91.4,11.41
419,muisne,48,EC,1525180935,96,0.61,-80.02,72.19,3.6
420,binzhou,92,CN,1525180935,99,37.38,117.96,59.68,8.63
421,santa vitoria do palmar,8,BR,1525180935,92,-33.52,-53.37,64.18,9.64
422,tommot,36,RU,1525180936,74,58.97,126.27,33.13,2.93
423,benton harbor,1,US,1525180560,51,42.12,-86.45,68.0,11.41
424,gwadar,32,PK,1525180936,46,25.12,62.33,95.23,19.82
425,neryungri,20,RU,1525180936,73,56.66,124.71,29.17,4.16
426,skuodas,0,LV,1525179000,63,56.27,21.52,62.6,10.29
427,keti bandar,0,PK,1525180936,92,24.14,67.45,84.43,20.94
428,biloela,0,AU,1525180937,76,-24.4,150.51,61.03,7.52
429,wilmington,1,US,1525179480,36,39.75,-75.55,60.8,6.93
430,bereda,20,ES,1525179600,58,43.27,-7.54,57.2,9.17
431,grand gaube,75,MU,1525176000,74,-20.01,57.66,78.8,11.41
432,aksarka,20,RU,1525180937,95,66.56,67.8,28.63,12.21
433,mitsamiouli,20,KM,1525176000,55,-11.38,43.28,89.6,19.46
434,cabedelo,40,BR,1525179600,70,-6.97,-34.84,84.2,13.87
435,askiz,92,RU,1525180938,43,53.13,90.53,62.38,13.78
436,langarud,0,IR,1525177800,60,37.2,50.15,68.0,9.17
437,balikpapan,20,ID,1525176000,100,-1.24,116.86,77.0,3.36
438,comodoro rivadavia,0,AR,1525179600,96,-45.87,-67.48,51.8,9.17
439,bathsheba,40,BB,1525179600,74,13.22,-59.52,82.4,23.04
440,beringovskiy,12,RU,1525180939,83,63.05,179.32,22.42,3.71
441,deniliquin,48,AU,1525180939,62,-35.53,144.96,56.26,6.06
442,pokhara,80,NP,1525180940,88,28.21,83.99,61.39,2.37
443,xochihuehuetlan,80,MX,1525180940,96,17.92,-98.43,60.49,2.37
444,nokaneng,8,BW,1525180940,33,-19.66,22.19,84.16,11.77
445,mindyak,75,RU,1525177800,50,54.02,58.79,53.6,22.37
446,forssa,90,FI,1525179000,93,60.82,23.63,42.8,13.87
447,dawei,88,MM,1525180941,98,14.07,98.19,74.35,3.71
448,akhmim,8,EG,1525180899,33,26.56,31.74,93.88,3.71
449,zhanaozen,0,KZ,1525180941,22,43.35,52.85,78.58,10.42
450,casablanca,40,MA,1525179600,48,33.6,-7.62,64.4,10.29
451,cabras,64,CO,1525180942,97,5.5,-75.6,59.23,1.59
452,belmonte,0,PT,1525180942,74,40.36,-7.35,54.73,5.28
453,port antonio,20,JM,1525179600,74,18.18,-76.45,82.4,3.36
454,paramonga,88,PE,1525180942,100,-10.68,-77.82,65.44,11.77
455,portree,92,GB,1525180943,100,57.41,-6.19,44.65,27.42
456,chacabuco,92,AR,1525180943,100,-34.64,-60.47,51.67,11.43
457,matara,40,PE,1525179600,61,-13.74,-72.9,48.2,2.37
458,tezu,44,IN,1525180943,83,27.93,96.16,63.28,0.81
459,bonavista,80,CA,1525180944,90,48.65,-53.11,36.46,10.31
460,bumiayu,64,ID,1525180944,70,-8.01,112.64,74.71,1.59
461,chapais,1,CA,1525176000,66,49.78,-74.86,44.6,8.05
462,dingle,76,PH,1525180944,73,11.0,122.67,82.99,11.32
463,iquitos,75,PE,1525179600,94,-3.75,-73.25,77.0,4.7
464,lagoa,40,PT,1525179600,39,37.14,-8.45,66.2,16.11
465,saint-joseph,90,FR,1525179600,55,43.56,6.97,62.6,5.82
466,meadow lake,75,CA,1525176000,51,54.13,-108.44,35.6,8.41
467,stara vyzhivka,0,UA,1525180946,75,51.44,24.44,75.97,17.47
468,uarini,75,BR,1525179600,94,-2.98,-65.16,77.0,5.95
469,pandan,64,PH,1525180946,99,11.72,122.09,84.16,14.45
470,cabra,40,ES,1525179600,93,37.47,-4.43,48.2,4.7
471,egvekinot,0,RU,1525180947,76,66.32,-179.17,10.45,2.93
472,fortuna,20,ES,1525179600,31,38.18,-1.13,69.8,10.29
473,uinskoye,36,RU,1525180947,42,56.88,56.58,53.65,5.5
474,manado,40,ID,1525179600,88,1.49,124.85,77.0,2.24
475,passo de camaragibe,75,BR,1525179600,83,-9.24,-35.49,78.8,3.36
476,hearst,100,CA,1525180948,94,49.69,-83.67,43.66,4.72
477,pevek,80,RU,1525180948,91,69.7,170.27,20.44,8.08
478,aykhal,44,RU,1525180948,70,65.95,111.51,42.58,13.33
479,carauari,76,BR,1525180949,95,-4.88,-66.9,76.15,3.38
480,salinopolis,92,BR,1525180949,100,-0.61,-47.36,77.77,3.38
481,gushikawa,20,JP,1525179360,83,26.35,127.87,77.0,5.82
482,marzuq,76,YE,1525180950,49,14.4,46.47,77.68,3.15
483,farias brito,36,BR,1525180950,86,-6.93,-39.57,73.63,11.21
484,rawlins,40,US,1525179180,73,41.79,-107.24,32.0,4.61
485,nantucket,40,US,1525179960,87,41.28,-70.1,51.8,16.11
486,penzance,90,GB,1525179000,71,50.12,-5.53,51.8,18.34
487,usinsk,44,RU,1525180951,91,66.0,57.56,31.15,13.11
488,yarmouth,40,GB,1525179000,62,50.71,-1.5,55.4,19.46
489,diego de almagro,36,CL,1525180951,92,-26.39,-70.05,54.1,3.38
490,mount gambier,80,AU,1525180951,55,-37.83,140.78,58.06,6.06
491,necochea,80,AR,1525180833,88,-38.55,-58.74,48.43,3.15
492,sao desiderio,0,BR,1525180952,60,-12.36,-44.97,78.31,6.96
493,quzhou,92,CN,1525180952,100,28.97,118.86,68.05,3.27
494,erdenet,0,MN,1525180952,73,49.03,104.04,48.25,2.26
495,eureka,1,US,1525179300,86,40.8,-124.16,42.8,4.7
496,altea,20,ES,1525179600,51,38.6,-0.05,62.6,12.75
497,baherden,20,TM,1525180953,65,38.44,57.43,64.81,6.73
498,faya,75,SA,1525176000,44,18.39,42.45,77.0,8.05
499,tura,76,IN,1525180953,96,25.52,90.21,69.85,7.63
500,homer,90,US,1525179180,86,59.64,-151.54,41.0,4.7
501,anahuac,40,US,1525179300,100,29.77,-94.68,73.4,6.93
502,asuncion,0,PY,1525179600,54,-25.3,-57.63,84.2,6.93
503,bonnyville,75,CA,1525176000,60,54.27,-110.74,41.0,4.7
504,touros,64,BR,1525180954,95,-5.2,-35.46,79.21,11.54
505,turukhansk,20,RU,1525180954,93,65.8,87.96,15.94,13.0
506,anadyr,0,RU,1525176000,85,64.73,177.51,15.8,6.71
507,verkhnyaya inta,88,RU,1525180955,67,65.99,60.32,30.61,9.75
508,port augusta,20,AU,1525179600,41,-32.49,137.76,60.8,9.17
509,cartagena,0,ES,1525179600,45,37.63,-1.0,69.8,10.29
510,nago,40,IT,1525179000,37,45.88,10.89,68.0,4.7
511,xichang,80,CN,1525180956,62,27.88,102.25,60.85,1.14
512,borkenes,20,NO,1525179000,34,68.77,16.17,48.2,9.17
513,moussoro,0,TD,1525180956,18,13.64,16.49,109.81,4.94
514,okha,88,RU,1525180956,82,53.59,142.95,26.11,3.94
515,vanderhoof,0,CA,1525180922,72,54.02,-124.02,35.38,2.93
516,san luis,0,AR,1525180957,92,-33.3,-66.34,49.15,4.72
517,gazanjyk,36,TM,1525180957,45,39.24,55.52,66.61,13.67
518,karasburg,44,NA,1525180958,17,-28.01,18.75,88.75,6.73
519,jutai,88,BR,1525180958,100,-1.71,-47.89,74.35,3.04
520,cap-aux-meules,90,CA,1525177920,100,47.38,-61.86,37.4,8.05
521,siniscola,75,IT,1525179000,93,40.57,9.69,57.2,3.36
522,general roca,0,AR,1525179600,70,-39.03,-67.58,48.2,5.82
523,ouadda,36,CF,1525180959,52,8.07,22.4,92.35,3.27
524,tahoua,0,NE,1525176000,20,14.89,5.26,104.0,9.17
525,dekar,8,BW,1525180959,25,-21.53,21.93,82.09,9.31
526,kedougou,0,SN,1525176000,32,12.56,-12.19,98.6,6.93
527,vuktyl,68,RU,1525180959,58,63.86,57.31,35.38,6.96
528,santa lucia,75,IT,1525179300,82,39.93,9.66,59.0,6.93
529,novita,76,CO,1525180960,96,4.96,-76.61,73.54,2.48
530,kapit,92,MY,1525180961,94,2.02,112.94,74.26,2.04
531,las palmas,75,PE,1525179600,94,-6.53,-76.35,75.2,3.36
532,hachinohe,12,JP,1525180961,94,40.47,141.48,49.96,2.04
533,zhigansk,64,RU,1525180962,65,66.77,123.37,42.85,12.21
534,dudinka,0,RU,1525180875,86,69.41,86.18,8.65,4.38
535,tokur,56,RU,1525180962,51,53.13,132.9,31.06,2.15
